target,matched_sensitivity_target,stageH_sensitivity,stageH_specificity,stageH_precision,stageH_fp,stageH_fn,acuity_sensitivity,acuity_specificity,acuity_fp,acuity_fn,matched_achievable
is_admitted,0.8903,0.9039,0.5126,0.5241,4893,573,0.8903,0.6138,3877,654,True
is_long_stay,0.982,0.9846,0.4565,0.5025,5583,88,0.982,0.6535,3560,103,True
