target,chosen_params,base_cv_pr_auc,tuned_cv_pr_auc,base_cv_roc_auc,tuned_cv_roc_auc,base_wb_roc_b3,tuned_wb_roc_b3,base_wb_roc_b4,tuned_wb_roc_b4,decision
is_admitted,"{'num_leaves': 15, 'min_child_samples': 200, 'learning_rate': 0.05, 'n_estimators': 300, 'reg_lambda': 0.0, 'colsample_bytree': 0.7}",0.6995,0.6992,0.8059,0.8063,0.4977,0.4975,0.4921,0.4923,"REJECT (keep Step-5 model): tuning did not improve within-band separation; the ceiling is in the data, not the model"
is_long_stay,"{'num_leaves': 15, 'min_child_samples': 200, 'learning_rate': 0.03, 'n_estimators': 400, 'reg_lambda': 5.0, 'colsample_bytree': 1.0}",0.751,0.7515,0.8644,0.8649,0.5005,0.5018,0.4749,0.4801,"REJECT (keep Step-5 model): tuning did not improve within-band separation; the ceiling is in the data, not the model"
